"","X.1","X","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Street.Code1","Street.Code2","Street.Code3","Vehicle.Expiration.Date","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Intersecting.Street","Date.First.Observed","Law.Section","Sub.Division","Violation.Legal.Code","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Unregistered.Vehicle.","Vehicle.Year","Meter.Number","Feet.From.Curb","Violation.Post.Code","Violation.Description","No.Standing.or.Stopping.Violation","Hydrant.Violation","Double.Parking.Violation","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA"
"2165",2165,2291483,8025204789,"GFE2687","NY","PAS","12/30/2014",21,"4DSD","TOYOT","T",23090,0,0,"01/01/20150225 12:00:00 PM",109,109,109,341921,"T401","L","0909A","","Q","I","E","147th St","1ft N/of 41st Ave","01/05/0001 12:00:00 PM",408,"d1",NA,"Y","0900A","1030A","GREY",NA,2013,"",0,"A 41","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2166",2166,2282907,7463967384,"GNB2889","NY","PAS","10/06/2014",71,"SUBN","DODGE","T",27094,23050,23110,"01/01/20160407 12:00:00 PM",105,105,105,361073,"T402","P","0418P","","Q","F","147-48","229th St","","01/05/0001 12:00:00 PM",408,"j6",NA,"YYYYYYY","","","RED",NA,0,"",0,"L 42","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2167",2167,5710299,8005014934,"GKY4213","NY","PAS","09/08/2014",71,"SUBN","NISSA","T",8790,16590,16740,"01/01/20160331 12:00:00 PM",115,115,115,357323,"T401","F","0458P","","Q","O","80-25","37th Ave","","01/05/0001 12:00:00 PM",408,"j6",NA,"YYYYYYY","","","GREY",NA,2005,"",0,"22 4","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2168",2168,5631952,7104793800,"9991AG7","AL","PAS","12/02/2014",20,"4DSD","TOYOT","T",9480,5580,5680,"01/01/20150588 12:00:00 PM",72,72,72,333042,"T302","M","0751A","","K","F","511","58th St","","01/05/0001 12:00:00 PM",408,"d",NA,"YYYYYYY","","","BLACK",NA,0,"",0,"J 32","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2169",2169,2437285,7169726452,"GFP1467","NY","PAS","09/09/2014",21,"SUBN","JEEP","T",33320,26340,26400,"01/01/20150422 12:00:00 PM",40,40,40,356975,"T201","M","0933A","","BX","O","751","Forest Ave","","01/05/0001 12:00:00 PM",408,"d1",NA,"Y  Y","0900A","1030A","BROWN",NA,2005,"",0,"I 21","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2170",2170,2409324,8001275991,"87734JZ","NY","COM","04/16/2015",20,"VAN","CHEVR","T",10410,17570,17590,"01/01/20151130 12:00:00 PM",13,13,13,361052,"T102","E","1037A","1000A","NY","F","267","5th Ave","","01/01/20150416 12:00:00 PM",408,"d",NA,"YYYYY","0800A","0600P","RED",NA,2010,"",0,"29 6","20-No Parking (Com Plate)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2171",2171,1480668,7706271559,"GKR3347","NY","PAS","05/28/2015",40,"SUBN","AUDI","T",35650,14510,15710,"01/01/20151007 12:00:00 PM",24,24,24,358572,"T103","P","0616P","","NY","F","35","W 94th St","","01/05/0001 12:00:00 PM",408,"e2",NA,"YYYYYYY","","","BROWN",NA,2014,"",0,"38 7","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2173",2173,10803418,8016900926,"DXT7499","NY","PAS","11/17/2014",21,"4DSD","AUDI","T",9890,28020,7240,"01/01/20141213 12:00:00 PM",114,114,114,355127,"T401","C","0948A","","Q","O","24-57","43rd St","","01/05/0001 12:00:00 PM",408,"d1",NA,"Y  Y","0930A","1100A","WHITE",NA,2010,"",0,"F 41","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2175",2175,9933244,8012484298,"V30DKM","NJ","PAS","03/19/2015",40,"SUBN","FORD","T",14840,38690,56490,"01/01/88888888 12:00:00 PM",104,104,104,354032,"T401","M","0905A","","Q","F","71-73","70th St","","01/05/0001 12:00:00 PM",408,"e2",NA,"YYYYYYY","","","RED",NA,0,"",6,"R 41","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2176",2176,11531903,8015505100,"GFR1490","NY","PAS","12/12/2014",21,"SUBN","JEEP","T",29130,94330,59130,"01/01/20150501 12:00:00 PM",90,90,90,358562,"T301","H","1220P","","K","O","231","Conselyea St","","01/05/0001 12:00:00 PM",408,"d1",NA,"Y  Y","1130A","0100P","GREY",NA,2004,"",0,"15 3","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2178",2178,10365761,7635178003,"R033AD","FL","PAS","03/26/2015",38,"SUBN","CHRYS","T",21390,0,0,"01/01/20150688 12:00:00 PM",106,106,106,346343,"T402","D","0133P","","Q","I","E","121st St","30ft S/of Liberty Av","01/05/0001 12:00:00 PM",408,"h1",NA,"Y","0900A","0700P","BLACK",NA,0,"",0,"23 4","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2179",2179,9522680,7099597310,"GNX2178","NY","PAS","10/06/2014",38,"4DSD","HONDA","T",11440,0,0,"01/01/20160318 12:00:00 PM",110,110,110,358121,"T401","N","0817P","","Q","I","E","55th Ave","105ft S/of Justice A","01/05/0001 12:00:00 PM",408,"h1",NA,"Y","0830A","1000P","BLACK",NA,2014,"",0,"K 41","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2180",2180,650788,8033486168,"PIKINE","MA","PAS","04/03/2015",19,"SUBN","FORD","T",25690,36050,36070,"01/01/88880088 12:00:00 PM",28,28,28,346105,"T103","B","0600A","","NY","F","345","Manhattan Ave","","01/05/0001 12:00:00 PM",408,"c3",NA,"YYYYYYY","","","GREY",NA,0,"",0,"CCC","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2181",2181,1650244,8001766354,"GMS1657","NY","PAS","09/24/2014",37,"4DSD","ME/BE","T",54580,35780,15140,"01/01/20160206 12:00:00 PM",107,107,107,361381,"T402","D","0250P","0241P","Q","F","71-42","Main St","","01/05/0001 12:00:00 PM",408,"h1",NA,"YYYYY","0730A","0700P","GREY",NA,2004,"452-2541",0,"06 4","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2182",2182,3468798,7523985970,"2TV244","OK","PAS","09/24/2014",85,"UTIL","FORD","T",68930,26730,67047,"01/01/20140101 12:00:00 PM",77,77,77,347447,"T802","B","0030A","0827P","K","F","1092","Pacific St","","01/05/0001 12:00:00 PM",408,"k5",NA,"","","","WHITE",NA,0,"",0,"O 31","85-Storage-3 hour Commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2183",2183,1779498,1370520487,"GJY6814","NY","PAS","08/22/2014",21,"SUBN","MINI","S",9640,10790,10890,"01/01/20150929 12:00:00 PM",108,108,0,515599,"QW02","0000","1136A","","Q","F","50-11","41 ST","","01/05/0001 12:00:00 PM",408,"D1",NA,"BBBBYBB","1130A","0100P","GREY",0,2012,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2184",2184,2849859,7147508543,"GLS5526","NY","PAS","07/25/2014",21,"SUBN","GMC","T",14280,0,0,"01/01/20151118 12:00:00 PM",70,70,70,355614,"T302","N","1232P","","K","I","S","Avenue N","7ft E/of Ocean Ave","01/05/0001 12:00:00 PM",408,"d1",NA,"Y","1130A","0100P","BLACK",NA,2003,"",0,"05 3","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2185",2185,11490163,7807333091,"FBT6122","NY","PAS","01/22/2015",20,"4DSD","FORD","T",0,0,0,"01/01/20160711 12:00:00 PM",50,50,50,361123,"T201","D","1058A","","BX","I","E","Netherland Ave","85ft N/of W 235th St","01/05/0001 12:00:00 PM",408,"d",NA,"YYYYYYY","","","GREY",NA,2003,"",0,"04 2","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2187",2187,8741896,8002048556,"EHY9368","NY","PAS","02/25/2015",21,"4DSD","BMW","T",22490,43360,11640,"01/01/20160511 12:00:00 PM",109,109,109,356499,"T401","B","1115A","","Q","F","55-44","137th St","","01/05/0001 12:00:00 PM",408,"d1",NA,"Y","1100A","1230A","BLACK",NA,2014,"",0,"01-A","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2188",2188,1043249,8017023730,"66385JJ","NY","COM","02/18/2015",46,"DELV","INTER","T",67030,81430,80330,"01/01/20160131 12:00:00 PM",77,77,77,355638,"T301","D","1246P","1200P","K","O","784","Nostrand Ave","","01/05/0001 12:00:00 PM",408,"F1",NA,"","","","BLUE",NA,2004,"",0,"09 3","46B-Double Parking (Com-100Ft)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2189",2189,5228768,7765086420,"74268JX","NY","COM","08/06/2014",38,"VAN","CHEVR","T",53790,21640,21690,"01/01/88888888 12:00:00 PM",106,106,106,361073,"T402","B","0247P","","Q","F","125-12","Liberty Ave","","01/05/0001 12:00:00 PM",408,"h1",NA,"Y","0900A","0700P","WHITE",NA,2007,"",0,"25 4","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2190",2190,11191926,7461925982,"EMY1005","NY","PAS","06/26/2015",21,"SUBN","HONDA","T",24990,18140,51090,"01/01/20161006 12:00:00 PM",103,103,103,355098,"T402","G","1156A","","Q","F","9039","179th Pl","","01/05/0001 12:00:00 PM",408,"d1",NA,"Y  Y","1130A","0100P","BLUE",NA,2003,"",0,"05 4","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2191",2191,11048198,8018058039,"42909JM","NY","COM","01/28/2015",40,"DELV","INTER","T",17790,23490,58590,"01/01/88888888 12:00:00 PM",103,103,103,361378,"T402","C","1251P","","Q","F","153-27","88th Ave","","01/05/0001 12:00:00 PM",408,"e2",NA,"YYYYYYY","","","BROWN",NA,1996,"",0,"04 4","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2192",2192,8511226,7814580020,"ZLG5976","NY","PAS","02/23/2015",38,"SUBN","CHEVR","T",54830,50530,49430,"01/01/20160128 12:00:00 PM",90,90,90,356345,"T301","A","0822A","","K","F","126","Lee Ave","","01/05/0001 12:00:00 PM",408,"h1",NA,"YYYYY","0800A","0400P","GREEN",NA,2007,"",0,"14 3","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2193",2193,5748573,7758761689,"GPT5096","NY","PAS","09/30/2014",38,"4DSD","CADIL","T",59990,13040,13240,"01/01/20160819 12:00:00 PM",112,112,112,356555,"T803","A","0834P","","Q","F","9711","Queens Blvd","","01/05/0001 12:00:00 PM",408,"h1",NA,"YYYYYYY","","","GOLD",NA,1995,"",0,"I 42","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2194",2194,4361058,7760767444,"CYM6792","NY","PAS","04/30/2015",20,"SUBN","TOYOT","T",20390,53790,19990,"01/01/20160930 12:00:00 PM",106,106,106,352969,"T402","G","1154A","","Q","F","104-08","110th St","","01/05/0001 12:00:00 PM",408,"d",NA,"YYYYY","0800A","0600P","RED",NA,2014,"",0,"26 4","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2195",2195,9937537,7693888457,"R27EVK","NJ","PAS","04/03/2015",38,"SUBN","SUBAR","T",38080,41730,40230,"01/01/88888888 12:00:00 PM",67,67,67,361869,"T302","Y","1141A","","K","F","960","E 96th St","","01/05/0001 12:00:00 PM",408,"h1",NA,"Y","0900A","0700P","GREEN",NA,0,"",0,"28 3","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2196",2196,4538397,7776345313,"398VW8","MA","PAS","08/27/2014",21,"SUBN","TOYOT","T",0,0,0,"01/01/20140888 12:00:00 PM",68,68,68,331245,"T302","L","0944A","","K","I","N","74th St","380ft E/of Ft Hamilt","01/05/0001 12:00:00 PM",408,"d1",NA,"Y","0930A","1100A","GREY",NA,0,"",0,"A 32","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2197",2197,9829394,8012611971,"FBC9354","NY","PAS","11/14/2014",20,"SUBN","CHRYS","T",59430,14330,9830,"01/01/20160620 12:00:00 PM",70,70,70,355147,"T302","J","0336P","","K","F","1726","McDonald Ave","","01/05/0001 12:00:00 PM",408,"d",NA,"Y","0700A","0700P","RED",NA,2013,"",0,"R 32","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2200",2200,4448313,1379147610,"GUK2081","CT","PAS","12/23/2014",46,"SDN","HYUND","P",68930,23330,54070,"01/01/20161013 12:00:00 PM",77,77,77,902634,"0077","0000","1005A","","K","F","1473","PACIFIC ST","","01/05/0001 12:00:00 PM",408,"F1",NA,"BBBBBBB","ALL","ALL","BLACK",0,2011,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2201",2201,3816937,7331193259,"CNP9369","NY","PAS","04/21/2015",21,"SUBN","TOYOT","T",44990,35230,35250,"01/01/20150720 12:00:00 PM",20,20,20,361889,"T103","K","1108A","","NY","F","290","West End Ave","","01/05/0001 12:00:00 PM",408,"d1",NA,"Y  Y","1100A","1230A","BLACK",NA,2003,"",0,"40 7","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202",2202,2262561,8012938753,"EDC3794","NY","PAS","11/23/2014",14,"SUBN","DODGE","T",8480,40404,40404,"01/01/20151031 12:00:00 PM",66,66,66,355542,"T302","Q","0551A","","K","F","103","38th St","","01/05/0001 12:00:00 PM",408,"c",NA,"YYYYYYY","","","BLUE",NA,2007,"",0,"S 32","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2203",2203,3296998,8004617864,"EJG4465","NY","PAS","08/17/2014",71,"SUBN","BMW","T",18070,10110,10010,"01/01/20141008 12:00:00 PM",17,17,17,357724,"T503","D1","0851A","","NY","F","327","E 54th St","","01/05/0001 12:00:00 PM",408,"j6",NA,"YYYYYYY","","","BLACK",NA,2013,"",0,"C 77","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2205",2205,2949772,7706751340,"T626051C","NY","OMT","02/23/2015",38,"4DSD","LINCO","T",5430,11280,11330,"01/01/20151231 12:00:00 PM",68,68,68,331325,"T302","L","0904A","","K","O","9412","4th Ave","","01/05/0001 12:00:00 PM",408,"h1",NA,"Y","0830A","0700P","BLACK",NA,2011,"",0,"E 32","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2207",2207,10834697,7099890839,"GMS4068","NY","PAS","06/30/2015",71,"2DSD","HONDA","T",10590,18390,18340,"01/01/20160407 12:00:00 PM",110,110,110,357054,"T401","V","0315P","","Q","O","91-11","48th Ave","","01/05/0001 12:00:00 PM",408,"j6",NA,"YYYYYYY","","","BLACK",NA,1993,"",0,"P 41","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2208",2208,10297011,7928381631,"XZ669T","NJ","PAS","01/08/2015",69,"DELV","FRUEH","T",14310,19690,22690,"01/01/88880088 12:00:00 PM",5,5,5,341171,"T101","A","1143A","","NY","O","22","Catherine St","","01/05/0001 12:00:00 PM",408,"h1",NA,"Y","0700A","0700P","WHITE",NA,0,"",0,"03 1","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2209",2209,10199430,7431900922,"GLZ4597","NY","PAS","08/13/2014",37,"SUBN","FORD","T",65590,25040,25050,"01/01/20160319 12:00:00 PM",107,107,107,361100,"T402","B","0121P","0104P","Q","F","179-24","Union Tpke","","01/05/0001 12:00:00 PM",408,"h1",NA,"Y","0800A","0700P","GREY",NA,2006,"443-8946",0,"08 4","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2210",2210,5098792,7534756212,"GTU7215","NY","PAS","11/13/2014",31,"SUBN","HONDA","T",34170,10510,10610,"01/01/20160827 12:00:00 PM",10,10,10,345115,"T102","D","0814A","","NY","F","141","W 20th St","","01/05/0001 12:00:00 PM",408,"l3",NA,"YYYYY","0800A","0700P","BROWN",NA,2014,"",0,"99 6","31-No Stand (Com. Mtr. Zone)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2211",2211,1632877,8007665894,"FXZ7083","NY","PAS","09/29/2014",38,"SUBN","FORD","T",65590,23380,23490,"01/01/20160331 12:00:00 PM",107,107,107,353159,"T402","J","0806A","","Q","O","152-11","Union Tpke","","01/05/0001 12:00:00 PM",408,"h1",NA,"Y","0800A","0700P","BLACK",NA,2014,"",0,"07 4","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2212",2212,11749505,7030999526,"1BW4112","MD","PAS","01/15/2015",21,"4DSD","HONDA","T",28830,14030,14080,"01/01/20170188 12:00:00 PM",70,70,70,343926,"T802","B","0043A","","K","F","1303","Coney Island Ave","","01/05/0001 12:00:00 PM",408,"d1",NA,"Y Y Y","1200A","0300A","BLACK",NA,0,"",0,"F 31","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2213",2213,2096263,7941586381,"7532115","PA","PAS","08/30/2014",38,"SUBN","DODGE","T",25090,31490,19890,"01/01/20140988 12:00:00 PM",7,7,7,358584,"T101","B","0911A","","NY","O","161","Ludlow St","","01/05/0001 12:00:00 PM",408,"h1",NA,"Y","0900A","0700P","SILVER",NA,0,"",0,"23 1","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2214",2214,10007038,8013776013,"FRM9275","NY","PAS","04/13/2015",37,"SUBN","TOYOT","T",24890,0,0,"01/01/20150717 12:00:00 PM",13,13,13,361825,"T102","M","0545P","0526P","NY","I","W","Lexington Ave","40ft N/of E 23rd St","01/05/0001 12:00:00 PM",408,"h1",NA,"Y","0800A","0700P","BLACK",NA,2008,"144-3748",0,"01 6","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2215",2215,10028431,7293165080,"GWS8344","NY","PAS","04/04/2015",14,"SUBN","NISSA","T",28490,0,0,"01/01/20150501 12:00:00 PM",1,1,1,351949,"T105","D","1233P","","NY","I","W","Pearl St","25ft S/of John St","01/05/0001 12:00:00 PM",408,"c",NA,"YYYYYYY","","","BLACK",NA,2015,"",0,"005","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2216",2216,3675027,7763752750,"CRD1256","NY","PAS","11/28/2014",21,"4DSD","NISSA","T",22640,0,0,"01/01/20151210 12:00:00 PM",103,103,103,356326,"T402","X","1050A","","Q","I","E","139th St","15ft N/of 90th Ave","01/05/0001 12:00:00 PM",408,"d1",NA,"Y  Y","0930A","1100A","GREY",NA,1997,"",0,"10 4","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2217",2217,10069603,8031651085,"GTP4376","NY","PAS","02/24/2015",20,"SUBN","SUBAR","T",36270,31190,26490,"01/01/20160909 12:00:00 PM",28,28,28,355134,"T103","B","0552A","","NY","O","365","W 125th St","","01/05/0001 12:00:00 PM",408,"d",NA,"YYYYYYY","","","GREY",NA,2015,"",0,"I 77","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2218",2218,3195433,7978357156,"CHV2135","NY","PAS","01/06/2015",21,"SUBN","NISSA","T",19930,63030,52130,"01/01/20150407 12:00:00 PM",83,83,83,359626,"T301","C","0114P","","K","O","271","Bleecker St","","01/05/0001 12:00:00 PM",408,"d1",NA,"Y  Y","1200A","0130P","GREY",NA,2009,"",0,"11 3","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2219",2219,8737473,1374385529,"XU625F","NJ","PAS","09/17/2014",46,"VAN","CHEVR","P",19250,10110,10010,"01/01/20150131 12:00:00 PM",25,25,25,952805,"0025","0000","0907A","","NY","F","303","E 115TH ST","","01/05/0001 12:00:00 PM",408,"F1",NA,"BBBBBBB","ALL","ALL","WHITE",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2220",2220,10932589,7957718784,"GRV3579","NY","PAS","11/26/2014",20,"4DSD","VOLKS","T",31400,43350,54950,"01/01/20160812 12:00:00 PM",120,120,120,341132,"T303","X","0717A","","R","F","230","Hamilton Ave","","01/05/0001 12:00:00 PM",408,"d",NA,"YYYYYYY","","","BLACK",NA,2011,"",0,"01-A","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2221",2221,11042194,7858365733,"79614MD","NY","COM","06/30/2015",69,"VAN","FORD","T",18110,10410,25390,"01/01/20150731 12:00:00 PM",17,17,17,359587,"T106","I","0230P","","NY","O","14","E 56th St","","01/05/0001 12:00:00 PM",408,"h1",NA,"YYYYY","0700A","0600P","WHITE",NA,2013,"",0,"20 6","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2223",2223,6085339,8011954921,"593ZGE","CT","PAS","09/09/2014",21,"4DSD","NISSA","T",66030,34130,73650,"01/01/20140088 12:00:00 PM",90,90,90,353993,"T301","B","0915A","","K","F","198","N 4th St","","01/05/0001 12:00:00 PM",408,"d1",NA,"Y  Y","0900A","1030A","WHITE",NA,0,"",0,"14 3","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2224",2224,3554357,7055371119,"74562ME","NY","COM","01/08/2015",42,"VAN","FORD","T",34210,10410,10510,"01/01/20160531 12:00:00 PM",13,13,13,361299,"T102","N","0236P","","NY","F","30","W 22nd St","","01/05/0001 12:00:00 PM",408,"h1",NA,"YYYYY","0800A","0600P","WHITE",NA,2013,"145-3013",0,"99 6","42-Exp. Muni-Mtr (Com. Mtr. Z)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2227",2227,7436143,1379841240,"617VT1","MA","PAS","05/17/2015",40,"SUBN","INFIN","P",36170,24690,10610,"01/05/0001 12:00:00 PM",28,28,162,954174,"0162","0000","1143P","","NY","F","117","W 120TH ST","","01/05/0001 12:00:00 PM",408,"E2",NA,"BBBBBBB","ALL","ALL","GREY",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2229",2229,8513670,7882349628,"65600MA","NY","COM","03/17/2015",38,"VAN","FORD","T",10810,0,0,"01/01/20161231 12:00:00 PM",14,14,14,355497,"T102","C","0926A","","NY","I","W","8th Ave","9ft N/of W 28th St","01/05/0001 12:00:00 PM",408,"h1",NA,"Y","0800A","0700P","WHITE",NA,2011,"",0,"23 6","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2230",2230,2322046,7891150035,"49605MD","NY","COM","10/29/2014",14,"VAN","NISSA","T",34570,10810,10910,"01/01/20150331 12:00:00 PM",14,14,14,354205,"T106","C","0723A","","NY","O","342","W 40th St","","01/05/0001 12:00:00 PM",408,"c",NA,"YYYYYYY","","","BLACK",NA,2013,"",0,"MC 9","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2231",2231,11520080,1380348511,"GUV9124","NY","PAS","06/08/2015",21,"SDN","HONDA","S",76550,70620,73620,"01/01/20170514 12:00:00 PM",50,50,0,612361,"BK08","0000","0736A","","BX","F","119","W KINGSBRIDGE RD","","01/05/0001 12:00:00 PM",408,"D1",NA,"BBBBBBB","0730A","0800A","GOLD",0,2003,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2232",2232,11594843,8003180806,"80487JG","NY","COM","10/01/2014",38,"VAN","FORD","T",25390,18850,18870,"01/01/88888888 12:00:00 PM",19,19,19,356191,"T103","G","0906A","","NY","F","1350","Madison Ave","","01/05/0001 12:00:00 PM",408,"h1",NA,"Y","0900A","0700P","WHITE",NA,1999,"",0,"15 7","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2233",2233,3574445,7910315041,"58671JF","NY","COM","10/28/2014",42,"DELV","ISUZU","T",34410,10410,13610,"01/01/20150930 12:00:00 PM",14,14,14,355446,"T106","E","0226P","","NY","F","5","W 32nd St","","01/05/0001 12:00:00 PM",408,"h1",NA,"YYYYY","0800A","0600P","WHITE",NA,2003,"144-3352",0,"99 6","42-Exp. Muni-Mtr (Com. Mtr. Z)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2234",2234,5413795,8010421200,"AR815C","NJ","PAS","02/02/2015",47,"DELV","INTER","T",17590,10110,10010,"01/01/88888888 12:00:00 PM",17,17,17,361128,"T102","F","0839A","","NY","O","308","E 30th St","","01/05/0001 12:00:00 PM",408,"l2",NA,"Y","0700A","0700P","WHITE",NA,0,"",0,"22 6","47-Double PKG-Midtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2236",2236,11103024,7083338280,"1K28B","NY","OMT","01/23/2015",31,"TAXI","TOYOT","T",13610,30790,29290,"01/01/20150228 12:00:00 PM",5,5,5,361841,"T105","D","0205P","","NY","O","561","Broadway","","01/05/0001 12:00:00 PM",408,"l3",NA,"YYYYY","0700A","0600P","YELLOW",NA,2013,"",0,"093","31-No Stand (Com. Mtr. Zone)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2237",2237,1554777,7385879457,"GAU4683","NY","PAS","05/01/2015",21,"SUBN","DODGE","T",0,0,0,"01/01/20150514 12:00:00 PM",52,52,52,361365,"T201","E","1217P","","BX","I","E","Bainbridge Ave","10ft S/of E 213th St","01/05/0001 12:00:00 PM",408,"d1",NA,"Y  Y","1130A","0100P","RED",NA,2005,"",0,"65 2","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2238",2238,3109841,8008435689,"GGU4389","NY","PAS","06/16/2015",21,"4DSD","HYUND","T",14920,75020,75030,"01/01/20150602 12:00:00 PM",50,50,50,355594,"T201","S","0741A","","BX","F","5687","Broadway","","01/05/0001 12:00:00 PM",408,"d1",NA,"Y","0730A","0800A","RED",NA,2013,"",0,"50 2","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2239",2239,4745516,1363531724,"69607JY","NY","COM","01/07/2015",38,"P-U","FORD","T",10210,18550,18570,"01/01/20160131 12:00:00 PM",19,19,109,346045,"T109","0000","1146A","","NY","O","1382","3RD AVENUE","","01/05/0001 12:00:00 PM",408,"I4",NA,"YYYYYYB","0900A","0700P","BLACK",0,2005,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
